id,name,nameEn,distillery,distillerySlug,country,region,type,age,abv,priceYen,priceAsOf,priceSource,availability,rating,notes,affiliateId,cask,recommendedFor,flavor.peat,flavor.sweet,flavor.fruity,flavor.spicy,flavor.oak,flavor.smoky,flavor.complex,flavor.body
nikka-coffey-grain,ニッカ カフェグレーン,Nikka Coffey Grain,ニッカウヰスキー,,japan,japan,grain,,45.0,5000,2026-08,editorial,common,83,連続式蒸留機「カフェスチル」で造られるグレーンウイスキー。バナナやココナッツのようなトロピカルな甘さ。,,アメリカンオーク,ストレート|ロック,0,5,4,1,3,0,3,4
nikka-days,ニッカ デイズ,Nikka Days,ニッカウヰスキー,,japan,japan,blended,,40.0,2500,2026-08,editorial,common,79,グレーンとモルトの軽快なブレンド。毎日飲める定番NASとして親しまれる。,,バーボン|シェリー,ハイボール|ロック,0,4,3,1,2,0,2,2
nikka-from-the-barrel,ニッカ フロム・ザ・バレル,Nikka From The Barrel,ニッカウヰスキー,,japan,japan,blended,,51.4,3300,2026-08,editorial,common,86,樽出し原酒に近い高濃度ブレンデッド。コスパの高さで海外でも評価が高い。,nikka-from-the-barrel,各種,ロック|水割り,1,4,3,3,4,1,4,4
oban-14,オーバン14年,Oban 14 Year Old,オーバン蒸溜所,oban,scotland,highland,single-malt,14,43.0,9500,2026-08,editorial,limited,86,ハイランドとアイランズの中間的な酒質。ほのかな潮とスモーク。,,バーボン,ストレート,2,3,3,2,3,2,4,3
octomore,オクトモア,Octomore,ブルックラディ蒸溜所,bruichladdich,scotland,islay,single-malt,,59.0,14000,2026-08,editorial,rare,89,世界最高峰のピート値を誇る超ヘビーピートウイスキー。,,バーボン,ストレート,5,2,2,4,3,5,4,5
old-pulteney-12,オールドプルトニー12年,Old Pulteney 12,オールドプルトニー蒸溜所,old-pulteney,scotland,highland,single-malt,12,40.0,5000,2026-08,editorial,common,83,本土最北の蒸留所らしい塩気とりんごのような爽やかさ。,,バーボン,ストレート|ハイボール,1,3,3,2,3,1,3,3
passport-scotch,パスポート スコッチ,Passport Scotch,バカルディ,,scotland,highland,blended,,40.0,1300,2026-08,editorial,common,74,軽快な飲み口で知られる、価格重視のブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,1,2
redbreast-12,レッドブレスト12年,Redbreast 12 Year Old,ミドルトン蒸溜所,midleton,ireland,ireland,single-malt,12,40.0,7500,2026-08,editorial,limited,88,シングルポットスチル製法。ドライフルーツとスパイスが濃密に重なる。,,シェリー|バーボン,ストレート,0,4,5,3,3,0,4,4
springbank-10,スプリングバンク10年,Springbank 10 Year Old,スプリングバンク蒸溜所,springbank,scotland,campbeltown,single-malt,10,46.0,9500,2026-08,editorial,rare,88,オイリーな質感と塩気。同じ蒸留所内で全工程を行う稀少な造り。,,バーボン|シェリー,ストレート,3,3,3,3,3,3,5,4
springbank-15,スプリングバンク15年,Springbank 15,スプリングバンク蒸溜所,springbank,scotland,campbeltown,single-malt,15,46.0,16000,2026-08,editorial,rare,89,熟成が進みシェリー由来の甘さと塩気が融合した円熟の1本。,,シェリー,ストレート,3,4,3,3,4,3,5,4
starward-nova,スターワード ノヴァ,Starward Nova,スターワード蒸溜所,starward,australia,australia,single-malt,,41.0,7500,2026-08,editorial,limited,84,赤ワイン樽熟成によるベリー系の濃い果実味が特徴。,,赤ワイン樽,ストレート|ロック,0,4,5,2,3,0,3,3
sullivans-cove-french-oak,サリバンズコーヴ フレンチオーク,Sullivans Cove French Oak,サリバンズコーヴ蒸溜所,sullivans-cove,australia,australia,single-malt,,47.5,35000,2026-08,editorial,rare,90,世界最高賞を受賞した実績を持つタスマニアの逸品。,,フレンチオーク シェリー,ストレート,0,5,4,3,5,0,5,4
suntory-ao,サントリー 碧,Suntory Ao,サントリー,,japan,japan,blended,,43.0,5000,2026-08,editorial,common,82,世界5地域の原酒をブレンドした「世界のウイスキー」。国産原酒と海外原酒が折り重なる複雑さ。,,アメリカンオーク|シェリー|ミズナラ,ロック|ハイボール,2,4,4,2,3,1,4,3
suntory-torys,サントリー トリス,Suntory Torys Classic,サントリー,,japan,japan,blended,,37.0,900,2026-08,editorial,common,73,戦後日本のウイスキー文化を支えた最も手頃な国産ブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,1,2
taketsuru,竹鶴ピュアモルト,Taketsuru Pure Malt,ニッカウヰスキー,,japan,japan,blended-malt,,43.0,7000,2026-08,editorial,limited,84,余市と宮城峡のモルトを組み合わせたブレンデッドモルト。バランス型。,,シェリー|アメリカンオーク,ストレート|ハイボール,1,4,3,2,3,1,4,3
talisker-10,タリスカー10年,Talisker 10 Year Old,タリスカー蒸溜所,talisker,scotland,island,single-malt,10,45.8,4800,2026-08,editorial,common,87,黒胡椒のような刺激と潮の香り。スカイ島の海を思わせる。,,アメリカンオーク,ストレート|ハイボール,3,2,2,4,3,3,4,4
talisker-storm,タリスカー ストーム,Talisker Storm,タリスカー蒸溜所,talisker,scotland,island,single-malt,,45.8,4500,2026-08,editorial,common,82,荒々しい海を思わせる潮と黒胡椒の刺激。タリスカーらしい力強いスパイス。,,バーボン,ストレート|ロック,3,2,2,4,3,3,3,4
teachers-highland-cream,ティーチャーズ ハイランドクリーム,Teacher's Highland Cream,ビーム サントリー,,scotland,highland,blended,,40.0,1700,2026-08,editorial,common,78,モルト比率が高めでしっかりした味わいのブレンデッド。,,各種,ハイボール|ロック,1,3,3,1,2,1,2,2
teeling-small-batch,ティーリング スモールバッチ,Teeling Small Batch,ティーリング蒸溜所,teeling,ireland,ireland,blended,,46.0,4000,2026-08,editorial,common,82,ダブリン発の若いブレンデッド。ラム樽仕上げの甘いスパイスとバニラ。,,ラム樽,ロック|ハイボール,0,4,4,2,3,0,3,3
tullamore-dew,タラモアデュー,Tullamore D.E.W.,タラモアデュー蒸溜所,,ireland,ireland,blended,,40.0,2200,2026-08,editorial,common,78,3種の原酒をブレンドする軽やかなアイリッシュブレンデッド。,,バーボン,ハイボール,0,3,3,1,2,0,2,2
white-horse-fine-old,ホワイトホース ファインオールド,White Horse Fine Old,ディアジオ,,scotland,islay,blended,,43.0,2200,2026-08,editorial,limited,80,43%版はピート感がやや強めで、ロックでも飲みごたえがある。,,各種,ロック,3,3,2,2,3,3,3,3
white-horse,ホワイトホース,White Horse,ディアジオ,,scotland,islay,blended,,40.0,1400,2026-08,editorial,common,78,ラガヴーリンを含むためピートがほのかに残る。価格を考えると驚異的。,white-horse,各種,ハイボール,2,3,2,1,2,2,2,2
wild-turkey-8,ワイルドターキー 8年,Wild Turkey 8 Year Old,ワイルドターキー蒸溜所,wild-turkey,usa,kentucky,bourbon,8,50.5,3000,2026-08,editorial,common,85,度数50.5%の力強さ。スパイスとキャラメルが濃厚に押し寄せる。,wild-turkey-8,新樽,ストレート|ロック,0,4,2,5,5,0,4,5
wild-turkey-rare-breed,ワイルドターキー レアブリード,Wild Turkey Rare Breed,ワイルドターキー蒸溜所,wild-turkey,usa,kentucky,bourbon,,58.4,5500,2026-08,editorial,limited,87,カスクストレングスに近い高度数。複数熟成年数の原酒をブレンドした濃厚な仕上がり。,,新樽,ストレート|ロック,0,4,2,5,5,0,4,5
william-lawsons,ウィリアムローソン,William Lawson's,バカルディ,,scotland,speyside,blended,,40.0,1400,2026-08,editorial,common,75,スペイサイドモルトを軸にした軽やかなブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,2,2
woodford-double-oaked,ウッドフォード ダブルオークド,Woodford Reserve Double Oaked,ウッドフォードリザーブ蒸溜所,woodford,usa,kentucky,bourbon,,45.2,6000,2026-08,editorial,common,85,2度の樽熟成でダークチョコレートと糖蜜の甘さが濃い。まろやかなコク。,,新樽,ストレート|ロック,0,5,3,3,5,0,4,4
woodford-reserve,ウッドフォードリザーブ,Woodford Reserve,ウッドフォードリザーブ蒸溜所,woodford,usa,kentucky,bourbon,,43.2,4000,2026-08,editorial,common,85,ポットスチルを併用した厚みのある味。バーボンの中では複雑。,,新樽,ストレート|ロック,0,4,3,4,4,0,4,4
yamazaki-12,山崎12年,Yamazaki 12 Year Old,山崎蒸溜所,yamazaki,japan,japan,single-malt,12,43.0,16800,2026-08,editorial,limited,88,ミズナラ樽由来の白檀のような香りが特徴。熟した果実と蜂蜜の甘みが層になって続く。,yamazaki-12,アメリカンオーク|シェリー|ミズナラ,ストレート|ロック,2,4,4,2,3,1,4,3
yamazaki-18,山崎18年,Yamazaki 18 Year Old,山崎蒸溜所,yamazaki,japan,japan,single-malt,18,43.0,55000,2026-08,editorial,rare,92,18年熟成でミズナラの香りが極まった1本。ドライフルーツと白檀が複雑に絡む。,,シェリー|ミズナラ,ストレート,2,5,4,3,4,1,5,3
yamazaki-nas,山崎 ディスティラーズリザーブ,Yamazaki Distiller's Reserve,山崎蒸溜所,yamazaki,japan,japan,single-malt,,43.0,11000,2026-08,editorial,common,85,山崎の中では手に入りやすい定番のNAS。ミズナラ由来の華やかな香りと、ハイボールでも立つ果実感が魅力。,,アメリカンオーク|シェリー|ミズナラ,ハイボール|ストレート,1,4,4,2,3,0,4,3
yoichi,余市,Nikka Yoichi Single Malt,余市蒸溜所,yoichi,japan,japan,single-malt,,45.0,5500,2026-08,editorial,common,85,石炭直火蒸留による力強さ。焦げた樽とわずかな潮の香りがある。,,リメイド|シェリー,ストレート|ロック,2,3,3,3,3,2,4,4
