id,name,nameEn,distillery,distillerySlug,country,region,type,age,abv,priceYen,priceAsOf,priceSource,availability,rating,notes,affiliateId,cask,recommendedFor,flavor.peat,flavor.sweet,flavor.fruity,flavor.spicy,flavor.oak,flavor.smoky,flavor.complex,flavor.body
glenmorangie-lasanta,グレンモーレンジィ ラサンタ,Glenmorangie Lasanta,グレンモーレンジィ蒸溜所,glenmorangie,scotland,highland,single-malt,12,43.0,6500,2026-08,editorial,common,85,シェリー樽で追加熟成（フィニッシュ）。レーズンのような甘さ。,,シェリー|バーボン,ストレート,0,4,4,2,3,0,4,3
glenmorangie-quinta-ruban,グレンモーレンジィ キンタルーベン,Glenmorangie Quinta Ruban 14,グレンモーレンジィ蒸溜所,glenmorangie,scotland,highland,single-malt,14,46.0,8000,2026-08,editorial,common,87,ポート樽で追加熟成したリッチな甘さ。ダークチョコレートとラズベリーの果実感。,,ポートワイン樽,ストレート|ロック,0,5,4,2,3,0,4,4
glenrothes-vintage,グレンロセス ヴィンテージ,The Glenrothes Vintage,グレンロセス蒸溜所,glenrothes,scotland,speyside,single-malt,,40.0,8500,2026-08,editorial,limited,85,収穫年を表記するヴィンテージボトリング。シェリー由来の厚み。,,シェリー,ストレート,0,4,4,2,4,0,4,3
grants-triple-wood,グランツ トリプルウッド,Grant's Triple Wood,ウィリアム・グラント&サンズ,glenfiddich,scotland,speyside,blended,,40.0,1800,2026-08,editorial,common,80,3種の樽で個別熟成した原酒をブレンド。バニラの甘さが立つ。,,バーボン|シェリー|新樽,ハイボール|ロック,0,4,3,1,3,0,3,2
green-spot,グリーンスポット,Green Spot,ミドルトン蒸溜所,midleton,ireland,ireland,single-malt,,40.0,6500,2026-08,editorial,limited,87,シングルポットスチルの代表格。フルーティで爽やかな酸味。,,シェリー|バーボン,ストレート,0,4,4,2,3,0,4,3
hakushu-12,白州12年,Hakushu 12 Year Old,白州蒸溜所,hakushu,japan,japan,single-malt,12,43.0,14800,2026-08,editorial,limited,86,青りんごとミントを思わせる爽やかさ。ごく軽いスモークが後ろに隠れている。,hakushu-12,アメリカンオーク,ハイボール|水割り,1,3,4,1,2,0,3,2
hakushu-18,白州18年,Hakushu 18 Year Old,白州蒸溜所,hakushu,japan,japan,single-malt,18,43,48000,2026-08,editorial,rare,91,緑に包まれた山梨の森のなかで熟成される繊細なモルト。林檎やハーブ、ほのかなスモークが調和する。,,アメリカンオーク|シェリー,ストレート|ロック,1,4,5,2,3,1,5,3
hakushu-distillers-reserve,白州 ディスティラーズリザーブ,Hakushu Distiller's Reserve,白州蒸溜所,hakushu,japan,japan,single-malt,,43.0,5500,2026-08,editorial,common,83,熟成年数非表記ながら白州らしい爽やかさを手頃に楽しめる定番。,,アメリカンオーク,ハイボール,1,3,4,1,2,1,3,2
hankey-bannister,ハンキー バニスター,Hankey Bannister,インバー・ハウス,,scotland,highland,blended,,40.0,1800,2026-08,editorial,common,78,18世紀創業の老舗ブランドによる飲みやすいブレンデッド。,,各種,ハイボール|ロック,0,3,3,1,2,0,2,2
hibiki-17,響17年,Hibiki 17 Year Old,サントリー,,japan,japan,blended,17,43,55000,2026-08,editorial,rare,90,24面の調和を表現した響の17年。オレンジピールや白檀、甘いハチミツが幾重にも重なる。,,アメリカンオーク|シェリー|ミズナラ,ストレート|ロック,0,5,4,2,4,0,5,3
hibiki-21,響21年,Hibiki 21 Year Old,サントリー,,japan,japan,blended,21,43.0,120000,2026-08,editorial,rare,93,国際的な賞を多数受賞した長期熟成ブレンデッド。芳醇で滑らか。,,ミズナラ|シェリー,ストレート,1,5,4,3,4,1,5,3
hibiki-harmony,響 JAPANESE HARMONY,Hibiki Japanese Harmony,サントリー,,japan,japan,blended,,43.0,11000,2026-08,editorial,limited,85,複数の原酒を重ねたブレンデッド。蜂蜜とオレンジピールの甘さがなめらかに広がる。,,ミズナラ|シェリー|アメリカンオーク,ストレート|ハイボール,1,4,4,2,3,1,4,3
highland-park-12,ハイランドパーク12年,Highland Park 12 Viking Honour,ハイランドパーク蒸溜所,highland-park,scotland,island,single-malt,12,40.0,5000,2026-08,editorial,common,86,ヘザーハニーの甘さとほのかなピート。甘さとスモークの均衡が絶妙。,,シェリー,ストレート|ロック,2,4,3,2,3,2,4,3
highland-park-15,ハイランドパーク15年,Highland Park 15 Year Old,ハイランドパーク蒸溜所,highland-park,scotland,island,single-malt,15,43,10000,2026-08,editorial,limited,86,オークニー諸島のヘザーピート。蜂蜜と石楠花、燻煙のバランスが絶妙。,,アメリカンオーク|シェリー,ストレート,2,4,4,3,4,2,4,4
highland-park-18,ハイランドパーク18年,Highland Park 18,ハイランドパーク蒸溜所,highland-park,scotland,island,single-malt,18,43.0,20000,2026-08,editorial,rare,91,「世界最高のオールラウンダー」と評されることもある名品。,,シェリー,ストレート,3,4,3,2,4,3,5,4
indri-trini,インドリ トリニ,Indri Trini,インドリ蒸溜所,,india,india,single-malt,,46.0,7000,2026-08,editorial,limited,87,3種の樽をブレンドした近年評価急上昇中のインド産モルト。,,バーボン|シェリー|ワイン樽,ストレート,0,4,4,3,4,0,4,4
jack-daniels-single-barrel,ジャックダニエル シングルバレル,Jack Daniel's Single Barrel,ジャックダニエル蒸溜所,jack-daniels,usa,tennessee,tennessee,,47,5500,2026-08,editorial,limited,84,単一樽の濃厚なジャック。バナナとキャラメル、スモークの香ばしさ。,,新樽,ロック|ストレート,0,4,3,3,4,1,3,4
jack-daniels,ジャックダニエル Old No.7,Jack Daniels Old No.7,ジャックダニエル蒸溜所,jack-daniels,usa,tennessee,tennessee,,40.0,2600,2026-08,editorial,common,79,メイプル炭で濾過する製法。バナナのような甘い香り。,,新樽,コーラ割り|ハイボール,0,4,2,2,4,1,2,3
jameson-black-barrel,ジェムソン ブラックバレル,Jameson Black Barrel,ミドルトン蒸溜所,midleton,ireland,ireland,blended,,40,3200,2026-08,editorial,common,82,焦がしバーボン樽で仕上げたダークな甘さ。キャラメルとバニラ、スパイス。,,バーボン,ロック|ハイボール,0,4,3,3,4,0,3,3
jameson,ジェムソン,Jameson,ミドルトン蒸溜所,midleton,ireland,ireland,blended,,40.0,2200,2026-08,editorial,common,80,3回蒸留の軽やかさ。クセがなく食中でも飲みやすい。,jameson,バーボン|シェリー,ハイボール|ロック,0,3,3,1,2,0,2,2
jim-beam-black,ジムビーム ブラック,Jim Beam Black Label,ジムビーム蒸溜所,jim-beam,usa,kentucky,bourbon,8,43,2500,2026-08,editorial,common,82,8年以上熟成のスモールバッチ。バニラとオーク、滑らかな飲み口。,,新樽,ロック|ハイボール,0,4,3,3,4,0,3,3
jim-beam-white,ジムビーム ホワイト,Jim Beam White Label,ジムビーム蒸溜所,,usa,kentucky,bourbon,4,40.0,1600,2026-08,editorial,common,76,世界で最も売れているバーボンのひとつ。手頃で軽やか。,,新樽,ハイボール|カクテル,0,3,2,2,3,0,2,2
johnnie-walker-black,ジョニーウォーカー ブラックラベル12年,Johnnie Walker Black Label 12,ディアジオ,,scotland,highland,blended,12,40.0,3200,2026-08,editorial,common,83,40種以上の原酒をブレンド。ほのかなスモークが全体を引き締める。,,各種,ハイボール|ロック,2,3,3,2,3,2,3,3
johnnie-walker-blue,ジョニーウォーカー ブルーラベル,Johnnie Walker Blue Label,ディアジオ,,scotland,highland,blended,,40.0,25000,2026-08,editorial,rare,88,稀少原酒をブレンドした頂点。スモーキーで滑らか、蜂蜜とドライフルーツの深い甘さ。,,アメリカンオーク|シェリー,ストレート|ロック,2,4,3,3,4,2,5,4
johnnie-walker-double-black,ジョニーウォーカー ダブルブラック,Johnnie Walker Double Black,ディアジオ,,scotland,highland,blended,,40.0,3800,2026-08,editorial,common,83,ブラックラベルよりピート感を強めた濃厚な仕上がり。,,各種,ハイボール|ロック,3,3,3,2,3,3,3,3
johnnie-walker-red,ジョニーウォーカー レッドラベル,Johnnie Walker Red Label,ディアジオ,,scotland,highland,blended,,40.0,1800,2026-08,editorial,common,76,世界で最も売れているスコッチのひとつ。スパイシーで力強い。,,各種,ハイボール,1,2,2,2,2,1,2,2
jura-10,ジュラ10年,Jura 10,ジュラ蒸溜所,jura,scotland,island,single-malt,10,40.0,4500,2026-08,editorial,common,81,軽やかで穏やかな酒質。塩気とほのかな甘さ。,,バーボン,ストレート|ハイボール,1,3,3,1,3,1,3,2
jura-12,ジュラ12年,Jura 12 Year Old,ジュラ蒸溜所,jura,scotland,island,single-malt,12,40,5500,2026-08,editorial,common,80,果実と蜂蜜のやさしい味わい。シェリー樽の甘みが加わり万人向け。,,バーボン|シェリー,ストレート|ハイボール,0,4,3,2,3,0,2,3
kakubin,サントリー角瓶,Suntory Kakubin,サントリー,,japan,japan,blended,,40.0,1500,2026-08,editorial,common,78,ハイボールの定番として不動の地位を築くブレンデッド。,kakubin,各種,ハイボール,0,3,2,1,2,0,2,2
kanosuke-malt,嘉之助,Kanosuke Japanese Single Malt,嘉之助蒸溜所,kanosuke,japan,japan,single-malt,,58,15000,2026-08,editorial,rare,85,鹿児島の海辺で急速熟成されたモルト。トロピカルな果実と樽由来のスパイスが強い。,,バーボン|シェリー,ストレート|ロック,1,3,4,3,4,1,4,4
kavalan-classic,カバラン クラシック,Kavalan Classic,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,40.0,6000,2026-08,editorial,common,84,亜熱帯の急速熟成。マンゴーやバナナのトロピカルな甘さ。,,アメリカンオーク,ストレート|ロック,0,5,5,2,4,0,3,3
kavalan-concertmaster,カバラン コンサートマスター,Kavalan Concertmaster,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,40.0,7500,2026-08,editorial,limited,85,ポートワイン樽で追加熟成。ベリー系の甘い香りが特徴。,,ポートワイン樽,ストレート,0,5,5,2,3,0,4,3
kavalan-distillers-select,カバラン ディスティラーズセレクト,Kavalan Distillers Select,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,40,7800,2026-08,editorial,limited,85,亜熱帯の急速熟成で生まれる濃厚さ。トロピカルフルーツとマンゴー。,,バーボン|シェリー|ワイン樽,ストレート|ロック,0,4,4,3,3,0,4,4
kavalan-solist-ex-bourbon,カバラン ソリスト バーボン,Kavalan Solist Ex-Bourbon,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,57.1,11000,2026-08,editorial,rare,87,カスクストレングスの濃密な果実味。バニラとパイナップル、オークの強さ。,,バーボン,ストレート|ロック,0,4,4,4,4,0,4,5
kavalan-solist-sherry,カバラン ソリスト シェリー,Kavalan Solist Sherry Cask,カバラン蒸溜所,kavalan,taiwan,taiwan,single-malt,,58.6,18000,2026-08,editorial,rare,90,シェリー樽シングルカスク。数々の国際コンペで最高賞を獲得。,,シェリー,ストレート,0,5,5,3,4,0,5,5
kilchoman-machir-bay,キルホーマン マッキルベイ,Kilchoman Machir Bay,キルホーマン蒸溜所,kilchoman,scotland,islay,single-malt,,46.0,7000,2026-08,editorial,common,85,ファーム蒸留所の若いピートモルト。柑橘と海藻の香りがフレッシュに広がる。,,バーボン|シェリー,ストレート,5,2,2,3,3,5,4,4
kilchoman-sanaig,キルホーマン サナイグ,Kilchoman Sanaig,キルホーマン蒸溜所,kilchoman,scotland,islay,single-malt,,46,7000,2026-08,editorial,limited,84,シェリー樽の甘さとピートが同居。ラズベリーとスモークの若々しい魅力。,,シェリー|バーボン,ストレート|ロック,4,3,3,2,4,4,3,4
kilkerran-12,キルケラン12年,Kilkerran 12 Year Old,グレンガイル蒸溜所,glengyle,scotland,campbeltown,single-malt,12,46,7500,2026-08,editorial,limited,85,キャンベルタウン復活の象徴。塩気とレモン、麦芽の甘みが折衷する。,,バーボン|シェリー,ストレート|ロック,2,3,3,3,3,2,4,4
knob-creek-9,ノブクリーク9年,Knob Creek 9 Year Old,ジムビーム蒸溜所,jim-beam,usa,kentucky,bourbon,9,50,4000,2026-08,editorial,common,85,9年熟成の高密度バーボン。キャラメルとクルミ、濃いオークの力強さ。,,新樽,ストレート|ロック,0,4,3,5,5,0,4,5
knob-creek,ノブクリーク,Knob Creek,ジムビーム蒸溜所,,usa,kentucky,bourbon,9,50.0,3800,2026-08,editorial,common,85,9年熟成とカスクストレングス寄りの度数で濃厚な仕上がり。,,新樽,ストレート|ロック,0,4,2,4,4,0,4,4
lagavulin-12,ラガヴーリン12年 カスクストレングス,Lagavulin 12 Year Old Cask Strength,ラガヴーリン蒸溜所,lagavulin,scotland,islay,single-malt,12,57.7,15000,2026-08,editorial,rare,90,毎年人気のカスクストレングス。深いピートと甘い香ばしさ、塩気が濃密。,,バーボン,ストレート,5,2,2,3,4,5,5,5
lagavulin-16,ラガヴーリン16年,Lagavulin 16 Year Old,ラガヴーリン蒸溜所,lagavulin,scotland,islay,single-malt,16,43.0,9000,2026-08,editorial,limited,90,16年の熟成でピートが丸くなり、甘みと一体化する。アイラの完成形。,,シェリー|アメリカンオーク,ストレート,5,3,2,3,4,5,5,5
lagavulin-8,ラガヴーリン8年,Lagavulin 8,ラガヴーリン蒸溜所,lagavulin,scotland,islay,single-malt,8,48.0,6500,2026-08,editorial,common,85,16年より若い分ピートが鋭くドライ。塩気が立ち、潮とスモークが際立つ。,,バーボン,ストレート,5,2,1,3,3,5,4,4
laphroaig-10-cs,ラフロイグ10年 カスクストレングス,Laphroaig 10 Year Old Cask Strength,ラフロイグ蒸溜所,laphroaig,scotland,islay,single-malt,10,58.6,9000,2026-08,editorial,limited,89,カスクストレングスの迫力。薬品のようなピート、海藻、バニラが激しく交差。,,バーボン,ストレート|ロック,5,1,1,4,4,5,4,5
laphroaig-10,ラフロイグ10年,Laphroaig 10 Year Old,ラフロイグ蒸溜所,laphroaig,scotland,islay,single-malt,10,40.0,4500,2026-08,editorial,common,86,強烈なピート香で知られる。好き嫌いが最も分かれる1本。,,アメリカンオーク,ストレート|ロック,5,1,1,3,3,5,4,4
laphroaig-quarter-cask,ラフロイグ クォーターカスク,Laphroaig Quarter Cask,ラフロイグ蒸溜所,laphroaig,scotland,islay,single-malt,,48.0,5500,2026-08,editorial,common,87,小樽で熟成させ樽との接触を増やした濃厚な仕上がり。,,アメリカンオーク,ストレート|ロック,5,2,2,3,4,5,4,4
ledaig-10,レダイグ10年,Ledaig 10 Year Old,トバモリー蒸溜所,tobermory,scotland,island,single-malt,10,46.3,6500,2026-08,editorial,common,84,トバモリーのピーテッド版。海藻のピートとスモーキーな塩気が個性的。,,バーボン|シェリー,ストレート|ロック,4,2,2,3,3,4,4,4
limeburners-malt,ライムバーナーズ モルト,Limeburners Single Malt,ライムバーナーズ蒸溜所,limeburners,australia,australia,single-malt,,46,12000,2026-08,editorial,rare,85,西オーストラリアのクラフトモルト。フルーツケーキとオークのリッチさ。,,シェリー|バーボン,ストレート,0,4,4,3,4,0,4,4
loch-lomond-12,ロッホローモンド12年,Loch Lomond 12 Year Old,ロッホローモンド蒸溜所,loch-lomond,scotland,highland,single-malt,12,46,4800,2026-08,editorial,common,80,湖畔の蒸溜所による素直なモルト。ハーブと柑橘、ほのかな土っぽさ。,,バーボン,ストレート|ハイボール,1,3,3,2,3,1,3,3
macallan-12,ザ・マッカラン12年 シェリーオーク,The Macallan 12 Sherry Oak,マッカラン蒸溜所,macallan,scotland,speyside,single-malt,12,40.0,11000,2026-08,editorial,limited,88,シェリー樽100%熟成。ドライフルーツとチョコレートの濃厚な甘さ。,,シェリー,ストレート,0,5,4,2,4,0,4,4
macallan-18,ザ・マッカラン18年 シェリーオーク,The Macallan 18 Sherry Oak,マッカラン蒸溜所,macallan,scotland,speyside,single-malt,18,43,48000,2026-08,editorial,rare,92,ファーストフィルシェリー樽18年。干し果実とオーク、スパイスが幾重にも重なる完成度。,,シェリー,ストレート,0,5,4,3,5,0,5,4
macallan-double-cask-12,マッカラン ダブルカスク12年,Macallan Double Cask 12,マッカラン蒸溜所,macallan,scotland,speyside,single-malt,12,40.0,12000,2026-08,editorial,limited,87,アメリカンオークとシェリー樽の2系統で熟成。バニラとオレンジの皮、クリーミーな甘さ。,,アメリカンオーク|シェリー,ストレート|ロック,0,5,4,2,4,0,4,4
makers-mark,メーカーズマーク,Makers Mark,メーカーズマーク蒸溜所,makers-mark,usa,kentucky,bourbon,,45.0,2800,2026-08,editorial,common,83,小麦を使ったソフトなバーボン。バニラと蜂蜜の甘さが強い。,makers-mark,新樽,ロック|ハイボール,0,5,3,2,4,0,3,3
mars-iwai,マルス iwai,Mars Iwai,マルス信州蒸溜所,mars-shinshu,japan,japan,blended,,40.0,1800,2026-08,editorial,common,79,手頃な価格ながら樽由来の甘みがしっかりある家庭向けブレンデッド。,,各種,ハイボール,0,4,3,2,3,0,2,2
mars-komagatake,駒ヶ岳 シングルモルト,Mars Komagatake Single Malt,マルス信州蒸溜所,mars-shinshu,japan,japan,single-malt,,50.0,8000,2026-08,editorial,limited,84,標高800mの蒸留所で造られる高地熟成モルト。フルーティで複雑。,,各種,ストレート,1,4,4,2,3,1,3,3
mars-lucky-cat,マルス ラッキーキャット,Mars Lucky Cat,マルス信州蒸溜所,mars-shinshu,japan,japan,blended-malt,,42,4200,2026-08,editorial,common,81,招き猫がラベルの愛らしいブレンデッドモルト。ミルクチョコレートのような甘い香り。,,シェリー|ミズナラ,ストレート|ハイボール,0,4,3,2,3,0,3,2
mars-tsunuki,マルス 津貫,Mars Tsunuki Single Malt,マルス津貫蒸溜所,mars-tsunuki,japan,japan,single-malt,,50.0,12000,2026-08,editorial,limited,86,亜熱帯の津貫で急速熟成したモルト。樽由来の濃い甘さと柑橘の香りが折り重なる。,,バーボン|シェリー,ストレート,0,4,4,3,4,0,4,4
miyagikyo,宮城峡,Nikka Miyagikyo Single Malt,宮城峡蒸溜所,miyagikyo,japan,japan,single-malt,,45.0,5500,2026-08,editorial,common,84,余市と対をなす華やかさ。レーズンや洋梨のような果実感が中心。,,シェリー|アメリカンオーク,ストレート|水割り,0,4,4,2,3,0,3,3
monkey-shoulder,モンキーショルダー,Monkey Shoulder,ウィリアム・グラント&サンズ,glenfiddich,scotland,speyside,blended-malt,,40.0,3300,2026-08,editorial,common,83,3つのモルト原酒のみをブレンドしたブレンデッドモルト。カクテル向け。,,バーボン,ロック|カクテル,0,4,3,1,3,0,3,3
nantou-omar,南投 オマー,Nantou Omar Single Malt,南投蒸溜所,nantou,taiwan,taiwan,single-malt,,46,6800,2026-08,editorial,limited,84,台湾国営によるクラフトモルト。パイナップルと蜂蜜のフルーティな個性。,,バーボン|シェリー,ストレート,0,4,4,3,3,0,4,3
nikka-coffey-grain,ニッカ カフェグレーン,Nikka Coffey Grain,ニッカウヰスキー,,japan,japan,grain,,45.0,5000,2026-08,editorial,common,83,連続式蒸留機「カフェスチル」で造られるグレーンウイスキー。バナナやココナッツのようなトロピカルな甘さ。,,アメリカンオーク,ストレート|ロック,0,5,4,1,3,0,3,4
nikka-coffey-malt,ニッカ カフェモルト,Nikka Coffey Malt,ニッカウヰスキー,,japan,japan,single-malt,,45,5500,2026-08,editorial,common,83,連続式蒸留機カフェスチルで造るモルト。バナナやメロンのようなトロピカルな果実味。,,アメリカンオーク|シェリー,ストレート|ロック|ハイボール,0,4,4,2,3,0,3,3
nikka-days,ニッカ デイズ,Nikka Days,ニッカウヰスキー,,japan,japan,blended,,40.0,2500,2026-08,editorial,common,79,グレーンとモルトの軽快なブレンド。毎日飲める定番NASとして親しまれる。,,バーボン|シェリー,ハイボール|ロック,0,4,3,1,2,0,2,2
nikka-from-the-barrel,ニッカ フロム・ザ・バレル,Nikka From The Barrel,ニッカウヰスキー,,japan,japan,blended,,51.4,3300,2026-08,editorial,common,86,樽出し原酒に近い高濃度ブレンデッド。コスパの高さで海外でも評価が高い。,nikka-from-the-barrel,各種,ロック|水割り,1,4,3,3,4,1,4,4
oban-14,オーバン14年,Oban 14 Year Old,オーバン蒸溜所,oban,scotland,highland,single-malt,14,43.0,9500,2026-08,editorial,limited,86,ハイランドとアイランズの中間的な酒質。ほのかな潮とスモーク。,,バーボン,ストレート,2,3,3,2,3,2,4,3
octomore,オクトモア,Octomore,ブルックラディ蒸溜所,bruichladdich,scotland,islay,single-malt,,59.0,14000,2026-08,editorial,rare,89,世界最高峰のピート値を誇る超ヘビーピートウイスキー。,,バーボン,ストレート,5,2,2,4,3,5,4,5
old-forester-100,オールドフォレスター100,Old Forester 100 Proof,オールドフォレスター蒸溜所,old-forester,usa,kentucky,bourbon,,50,3200,2026-08,editorial,common,84,1870年から続くバーボンの老舗。糖蜜とベリー、オークの厚みある味わい。,,新樽,ロック|ハイボール,0,4,3,4,4,0,3,4
old-pulteney-12,オールドプルトニー12年,Old Pulteney 12,オールドプルトニー蒸溜所,old-pulteney,scotland,highland,single-malt,12,40.0,5000,2026-08,editorial,common,83,本土最北の蒸留所らしい塩気とりんごのような爽やかさ。,,バーボン,ストレート|ハイボール,1,3,3,2,3,1,3,3
old-pulteney-17,オールドプルトニー17年,Old Pulteney 17 Year Old,オールドプルトニー蒸溜所,old-pulteney,scotland,highland,single-malt,17,46,11000,2026-08,editorial,limited,86,潮風の街ウィックで熟成。柑橘と海塩、蜂蜜が交差する複雑な味わい。,,バーボン|シェリー,ストレート,1,3,4,3,4,1,4,3
passport-scotch,パスポート スコッチ,Passport Scotch,バカルディ,,scotland,highland,blended,,40.0,1300,2026-08,editorial,common,74,軽快な飲み口で知られる、価格重視のブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,1,2
paul-john-classic,ポールジョン クラシックセレクト,Paul John Classic Select,ポールジョン蒸溜所,paul-john,india,india,single-malt,,42.8,5000,2026-08,editorial,limited,83,ゴア州のモルト。バニラとバナナ、クリーミーな甘さがソフト。,,バーボン,ストレート|ロック,0,4,4,3,3,0,3,4
powers-gold-label,パワーズ ゴールドラベル,Power's Gold Label,ミドルトン蒸溜所,midleton,ireland,ireland,blended,,43.2,2500,2026-08,editorial,common,80,シングルポットスチル主体のコクあるアイリッシュ。ジンジャーとオーク。,,バーボン,ロック|ハイボール,0,3,3,3,3,0,2,3
rampur-asava,ラムプール アサヴァ,Rampur Asava,ラムプール蒸溜所,rampur,india,india,single-malt,,45,7500,2026-08,editorial,limited,84,インドモルトとシェリー樽の融合。ブドウと蜂蜜、スパイスの甘やかさ。,,シェリー|バーボン,ストレート,0,4,5,3,3,0,4,4
redbreast-12,レッドブレスト12年,Redbreast 12 Year Old,ミドルトン蒸溜所,midleton,ireland,ireland,single-malt,12,40.0,7500,2026-08,editorial,limited,88,シングルポットスチル製法。ドライフルーツとスパイスが濃密に重なる。,,シェリー|バーボン,ストレート,0,4,5,3,3,0,4,4
redbreast-15,レッドブレスト15年,Redbreast 15 Year Old,ミドルトン蒸溜所,midleton,ireland,ireland,single-malt,15,46,13000,2026-08,editorial,limited,88,シングルポットスチルの15年。トフィーとベリー、スパイスが豊かに広がる。,,シェリー|バーボン,ストレート,0,5,4,3,4,0,4,4
shizuoka-prologue-k,静岡 プロローグK,Shizuoka Prologue K,静岡蒸溜所,shizuoka,japan,japan,single-malt,,55.5,18000,2026-08,editorial,rare,86,軽井沢の直火式スチルを受け継いだ初の公式ボトル。リッチな果実とスパイスが厚みを作る。,,バーボン,ストレート,1,4,4,3,4,1,4,4
springbank-10,スプリングバンク10年,Springbank 10 Year Old,スプリングバンク蒸溜所,springbank,scotland,campbeltown,single-malt,10,46.0,9500,2026-08,editorial,rare,88,オイリーな質感と塩気。同じ蒸留所内で全工程を行う稀少な造り。,,バーボン|シェリー,ストレート,3,3,3,3,3,3,5,4
springbank-12-cs,スプリングバンク12年 カスクストレングス,Springbank 12 Year Old Cask Strength,スプリングバンク蒸溜所,springbank,scotland,campbeltown,single-malt,12,54.4,14000,2026-08,editorial,rare,89,全工程手作業で造られる稀少なカスクストレングス。塩気とスモーク、オイリーな厚み。,,バーボン|シェリー,ストレート,3,3,3,3,4,3,5,5
springbank-15,スプリングバンク15年,Springbank 15,スプリングバンク蒸溜所,springbank,scotland,campbeltown,single-malt,15,46.0,16000,2026-08,editorial,rare,89,熟成が進みシェリー由来の甘さと塩気が融合した円熟の1本。,,シェリー,ストレート,3,4,3,3,4,3,5,4
starward-nova,スターワード ノヴァ,Starward Nova,スターワード蒸溜所,starward,australia,australia,single-malt,,41.0,7500,2026-08,editorial,limited,84,赤ワイン樽熟成によるベリー系の濃い果実味が特徴。,,赤ワイン樽,ストレート|ロック,0,4,5,2,3,0,3,3
starward-two-fold,スターワード ツーフォールド,Starward Two-Fold,スターワード蒸溜所,starward,australia,australia,single-malt,,41,4500,2026-08,editorial,common,82,赤ワイン樽熟成のカクテル向けモルト。ベリーとバニラ、オレンジ。,,赤ワイン樽,ロック|ハイボール,0,4,5,2,3,0,3,3
sullivans-cove-french-oak,サリバンズコーヴ フレンチオーク,Sullivans Cove French Oak,サリバンズコーヴ蒸溜所,sullivans-cove,australia,australia,single-malt,,47.5,35000,2026-08,editorial,rare,90,世界最高賞を受賞した実績を持つタスマニアの逸品。,,フレンチオーク シェリー,ストレート,0,5,4,3,5,0,5,4
suntory-ao,サントリー 碧,Suntory Ao,サントリー,,japan,japan,blended,,43.0,5000,2026-08,editorial,common,82,世界5地域の原酒をブレンドした「世界のウイスキー」。国産原酒と海外原酒が折り重なる複雑さ。,,アメリカンオーク|シェリー|ミズナラ,ロック|ハイボール,2,4,4,2,3,1,4,3
suntory-toki,サントリー 翠（トキ）,Suntory Toki,サントリー,,japan,japan,blended,,43,3200,2026-08,editorial,common,78,ライトでクリーンなハイボール向きブレンド。白州の爽やかさと山崎の甘みを合わせた。,,アメリカンオーク,ハイボール|ロック,0,4,3,1,2,0,2,2
suntory-torys,サントリー トリス,Suntory Torys Classic,サントリー,,japan,japan,blended,,37.0,900,2026-08,editorial,common,73,戦後日本のウイスキー文化を支えた最も手頃な国産ブレンデッド。,,各種,ハイボール,0,3,2,1,2,0,1,2
taketsuru,竹鶴ピュアモルト,Taketsuru Pure Malt,ニッカウヰスキー,,japan,japan,blended-malt,,43.0,7000,2026-08,editorial,limited,84,余市と宮城峡のモルトを組み合わせたブレンデッドモルト。バランス型。,,シェリー|アメリカンオーク,ストレート|ハイボール,1,4,3,2,3,1,4,3
talisker-10,タリスカー10年,Talisker 10 Year Old,タリスカー蒸溜所,talisker,scotland,island,single-malt,10,45.8,4800,2026-08,editorial,common,87,黒胡椒のような刺激と潮の香り。スカイ島の海を思わせる。,,アメリカンオーク,ストレート|ハイボール,3,2,2,4,3,3,4,4
talisker-18,タリスカー18年,Talisker 18 Year Old,タリスカー蒸溜所,talisker,scotland,island,single-malt,18,45.8,17000,2026-08,editorial,limited,88,スカイ島の海と黒胡椒。熟成でピートが柔らかくなり、シェリーの甘さが加わる。,,アメリカンオーク,ストレート,3,3,3,4,4,3,5,4
talisker-storm,タリスカー ストーム,Talisker Storm,タリスカー蒸溜所,talisker,scotland,island,single-malt,,45.8,4500,2026-08,editorial,common,82,荒々しい海を思わせる潮と黒胡椒の刺激。タリスカーらしい力強いスパイス。,,バーボン,ストレート|ロック,3,2,2,4,3,3,3,4
tamdhu-12,タムドゥ12年,Tamdhu 12 Year Old,タムドゥ蒸溜所,tamdhu,scotland,speyside,single-malt,12,43,6500,2026-08,editorial,common,84,オロロソシェリー樽100%熟成。レーズンとバタースコッチの濃厚な甘さ。,,シェリー,ストレート,0,5,4,2,4,0,3,4
teachers-highland-cream,ティーチャーズ ハイランドクリーム,Teacher's Highland Cream,ビーム サントリー,,scotland,highland,blended,,40.0,1700,2026-08,editorial,common,78,モルト比率が高めでしっかりした味わいのブレンデッド。,,各種,ハイボール|ロック,1,3,3,1,2,1,2,2
